Sentence	Emotion
말도 안되는 소리 하고 자빠졌네..	분노
 그 돈은 어디서부터 출발했냐?	분노
국가가 세월호 침몰 시켰어?	분노
 월요일아침부터 열받네..	분노
 대한민국 국민에게 모욕감을 주었다!!	분노
 온 국민이 널 찢어버릴 준비를 하고있다.	분노
느그들이 보리고개를 느껴봐냐 ?	분노
왜 아직까지 책임부서에서는 아무런 해결책을 발표하지 못하고 있나요?	분노
 예보를 해주셔야죠.	분노
저것들 주머니에 들어가는 돈만큼 챙겨라.	분노
 그러니 저러든말든 집회나가서 퇴진구호 외치자	분노
개판민국.	분노
싸인해라!!	분노
입다물고 개노릇이나 해	분노
 이젠 더 이상 못 참겠다!!!!!!!!	분노
뇌구조부터가 잘못됐으니 부모원망해야지 이 송장들아 ?	분노
 한번뜯더도방수되나 장난지금 나랑하나	분노
 미친 닭의 지시를 메모하면서 실행에 옮기다니!!!	분노
 목사도 지옥간다고 알고 있는데 딱 이넘들이네.	분노
이정_ㅋㅋㅋㅋㅋ제티비씨가 본색을 드러내는군	분노
얼른 박그네 하야하는 길이 경제살리고 나라살리는 길입니다	분노
 물론 배신감들겠지...	분노
국정화는ㅡ폐기되어야 한다	분노
봐주기는 안되는 말씀.	분노
어정쩡한 국회의원들 준비도 확실히 못하냐!	분노
가지가지 한다.	분노
친일파 정치인 새 끼들아 ~~	분노
 박근혜를 찍은 1500만은 들고 일어나라	분노
매국노 나가라!!	분노
박영숙... 천벌을 받을것이다.	분노
병신년아 좀 닥쳐	분노
한번타먹은애들은 빼야지 ㅡㅡ	분노
삼성은 100만원짜리 교환해 주는데 현대차는 3-5천만원 짜리 차 팔고도 나몰라라	분노
 태극기로 박근혜 탄핵반대 하는 인간들 속셈이 뭘까 안챙피해?	분노
저년은 국민들을 괴롭히고 다 죽이려고 대통령 됐다.	분노
프로포폴 맞고 쳐자다가 겨우 일어나 부스스한거지 .	분노
 더이상 국민을 쪽팔리게 하지말고 끝내라	분노
 국민들이 눈에 불켜고 이따!!	분노
 국민들 손에 찢겨죽고 싶지않으면...	분노
폭력적선교 상대방을 고려하지 않는 일종의 폭력	분노
진짜 경각심 좀 갖고 살자미세먼지 심각하다.	분노
돌팔이 양성소 간호사관 폐지하라.	분노
글씨도 틀리고 뜻도 모르는 인간이 국정을 운영했다 씨x 열받는다	분노
씨뱌 내가 니 몸뚱아리에 주사놓으라고 임신해서 토하면서까지 일한줄알아??	분노
개같은..년!!!!	분노
내가 무슨 관종인줄 아나?	분노
새로운년생긴놈은지금행복하느라내생각일도안나겠지?	분노
아..우울해졌심.. 이럴수가... 난 바보야!	분노
또저녁에 저런 ㅠㅠ오늘밥하기싫어서안했더니 이런사태가!!!!!	분노
남친새끼왜이러는거임?	분노
남편 스포츠도박 때문에 이번달에만 천오백은 날린것 같아요.	분노
샹년으로만들고다녔나보네.	분노
근데 업장에선아르바이트생인 제가 잘못했다고 다 채워놓으라고합니다 ;;	분노
이것들이 도랏나뒤질라구자빠_나???	분노
스파이로 정보 털어서 여기서 고문을 하다니완전 돈거다	분노
ㅋㅋㅋㅋ쓰레기년한테 쓰레기같은 헛소리듣고선 나 찐따취급한새끼가	분노
 그리고 저렇게 속물같이 말하는데 왜 이렇게 정이 떨어지죠ㅠ	분노
 아니면 간접적이라도 그만쳐보라고 하는법없나요??0	분노
 심리학자들 성격분석자들 놔두고 이런건왜안해!!!!	분노
그저 변명같다고 그사람에게따졌어요	분노
 진짜로하 열받는다.	분노
왜 차단 풀어서 친구추가에 뜨게하냐!!!!!!!!!!!!!!	분노
1년 반가량 사귀다가 전여자친구가 바람을 피워서헤어지게 _어요	분노
 열받아서 미쳐버리겠네요	분노
 이렇게 말하고 갔는데 진짜 끝장보고싶나..0	분노
 무슨 여친냅두고 부킹해서 관계를 했다는둥 군대 갔다오니까 여자친구가 성에 안찬다는둥 딴여자가 눈에 더 들어와요 ㅋㅋㅋㅋㅋㅋㅋ?	분노
나쁜년	분노
 미칠거같음	분노
너때문에 다리가다 후들거린다 분노로...	분노
돈이고뭐고 _아가서 한대후려까고싶은데...	분노
기분 더럽네요 진짜..	분노
27살에 헤어지고 2년동안 악착같이 미친듯이 살았다.	분노
아직도 나는 납득이 안간다.	분노
필리핀가서 바람나 어린년이랑 살림차린 남편.......	분노
야근수당도 없는데 줘같은회사	분노
강제로 끌려가신 할머님들을 도대체언제까지 욕보이실껀가요?	분노
정말 빡치네요!	분노
저에게 모멸감을 주었습니다.	분노
 진짜 학교마칠때만 하고다니는데 저희도 예뻐지고싶고 꾸미고싶은게당연한거아니에요?	분노
 불텨 븅신아 니가 제일 븅신이고 아니라고?	분노
 이 시이발 진짜	분노
와 진짜열받네요	분노
너무 화가납니다	분노
 그런말은 속으로만 생각하시지 왜 꼭 밖으로내뱉는건데요 ㅠ	분노
친구놈이 일주일전에 업어온 bmw바이크를어떤 차가 넘어트리고 도망 쳤네요 ㅡㅡ^	분노
 치가 떨리니까	분노
신에게 가운데손가락을 쳐들고싶네요0	분노
그래서 나도 카톡으로 퍼부었어요	분노
쓰레기같은새끼야 보면 연락좀 하지마	분노
어떻게이럴수가잇어!!!!	분노
우체국 손해배상 신고 방법이나 사이트좀 제발0	분노
저와 밥먹던중베프 남사친한테 전화왔는데누구랑 있냐고 물어봤는지친구랑 밥먹어 이러더군요	분노
"소장한테 말하든가 아니면 정유회사 한테 따지든가왜 나한테 지롤이냐고,,"	분노
바리스타 자격증도 따구!답은 주세요인데 김민폐가 뒷북 쳤어 둥둥	분노
내가 아무리 이런 성격이라도내가 다가가는 것에 대해서싫은 기색을 조금이라도 보이면그냥 나를 감춰버려알간?	분노
 매일 악지르고 욕하고 망치 같은걸로 벽을 두드립니다	분노
?ㅠ..ㅠ 다버립니다.치킨시키고 너무 화가 납니다.	분노
사실 가끔씩 생각나서 피가 거꾸로 솟는 듯한 느낌에 밥상을 집어던지고 싶을때가많지만..	분노
이게 동정이냐?	분노
 진짜 믿엇는데 니한테 배신당할줄은몰랏다 ㅋㅋㅋㅋㅋㅋ	분노
 정말 구구절절 맞는 말이고 울컥울컥 하네요....	분노
 가정교육 제대로 못받았나	분노
사장님 눈엔 그게 아니꼬와서 그러신걸까요......하....	분노
 쓰레기라고?	분노
 정말 내가 이런 것들이랑 같이 살고있다는게	분노
쌍욕 안한게 다행이지	분노
나 버리고 그 여자한테 가더니잘 사겨라 나쁜놈아왠만하면 그 여자가 똑같이 너 버리고 다른남자한테환승했음 좋겠다	분노
2. 이사 : 돈을 가져간 것도 아니고 다시 입금 시켰는데 짜르는건 너무하다.	분노
니들한테 학원 넘길 줄 알았어?	분노
 졸라 짜증난지가 한참 되었다	분노
아 답답해라	분노
벌써 11:10분인데 안하네여 아오 ...0	분노
핵무기비확산과 관련하여다른 국가들은 비확산에 동의해야 하지만일본은 북한의 위협으로 동의할수 없다..	분노
그리고 탕비실에서 뿌리는거자체가이기적인거아님?	분노
음악적으로 물어보고 싶어도악보를 잘 못보니까이론을 잘 몰라서그리고 성격 지랄맞아서 ㅅㅂ놈못 물어보겠음	분노
 겨울때 반팔티랑 반바지 입었을때 집에서 _아낸적도 있고요	분노
연락하나도 안하고냉각기가지는게 답인가요?	분노
어디한번 군대에서 잘먹고 잘살다나와라.끝이다 이젠진짜.	분노
뭔일 있는지 걱정도 되고 화도 너무 나고 그러네요	분노
" 근데 남자랑 옆에 볼을 맞댈정도로 가까이대고있고, 심지어는 남자새끼 한명이 여친목에 뽀뽀하는시늉을 하는 사진도 있더라고요"	분노
하 진짜 못생긴게 욕 먹을 정도로 나쁜 건가요???	분노
조선시대같았으면 껍데기 벗겼다. 감사히 생각해라.	분노
개검찰 공수처 신설 급함해체하라 개검찰 특검가자못믿겠다 개검찰19 개검찰 청사 모이자 검찰해체촛불집회하자	분노
조윤선은 일본군 위안부로 김기춘은 탄광으로 보내세요	분노
특검 진행해서 진실을 밝혀라!!!!!	분노
"떡찰, 똥찰, 껌찰, 좆찰 니미씹이다"	분노
"정말 이 지지리 무능한 정부에, 나라를 이 꼴로 만든 추한 욕심만 가득 찬 박근혜에 진저리가 쳐진다."	분노
지나가던 똥강아지가 웃네요	분노
치열하게는 개뿔 완전노잼 경기였는데	분노
상위 10%는 결혼하는사람 애낳는사람 다 늘었는데 하위는 ㅎㅎㅎ	분노
수입소 먹으면 매국노랄때가 엊그제 같은데 이제 수입 사먹자고 하네.	분노
기사는 살인죄를 적용시켜 처벌해야된다고 봅니다.	분노
아니 왜지진났는지 그것좀분석을해라 좀	분노
다시 여름이구만 먼 초가을이여 ㅋㅋㅋ 덥다더워	분노
쟤들 그냥 죽여버리자	분노
내가볼땐 내년도 김성근이다	분노
그냥 삼성야구단 없어져라!!!!!!	분노
김주찬을 꼭 빼야했냐?	분노
술도 가게에서 사다가 집에서 먹어야지 식당들 망하게	분노
외국인한테 땅파는건 법으로 규제해야한다!!!	분노
저거 심사하는 쉐키들이 전부 도둑놈들임	분노
짝짝짝황교안도 사퇴해라	분노
속도 없이 충분히 기다린다 ~	분노
이번 기회에 좌빨 척결하자	분노
부러운넘 나도 한번만 찍자	분노
탄핵 부결된다면 새누리당 비주류 니네 정치인생 끝나는줄 알면된다.	분노
잘못을 했으면 벌을받자 제발 !!	분노
회사보다 욕을 더 많이 먹는 이상한 현대차 노조	분노
잔대가리 굴리다가 모가지 날라간다	분노
"부족한 4,000억은 최순실 닭근혜 재산을 탈탈털어서 메꾸면 될텐데"	분노
"자나깨나 옴레기 생각~~~ 눈떠보니 겔레기줌, 망하고 보니 겔레기"	분노
기춘이 조윤선이 판결 한번 지켜보마	분노
선택권이 늘긴 개뿔 하이스펙 기기가 눈돌아가게 비싸게 바뀌어서 할 수 없이 중저가로 선택할 수 밖에 없는거겠지	분노
통신사들 쳐돌았냐?	분노
이번 기회에 맛없고 양도적게주는 놈들 싹 정리되길 기대함	분노
구린게 많으니 차명폰 썼겠지	분노
작년 두산은 외국인선수 없이도 우승했다 뭐 보고 배운거 없나..	분노
택이때도 인기 많았지만 지금이 절정인듯 어딜가나 박보검 얘기 멋있다고	분노
걍 최씨집 조져 계속 만만한애들만조지지말고	분노
도덕관념 없는 돈벌레 중국스러운 짓거리다	분노
진실은 반드시 밝혀져야한다.	분노
천재라서 쓰는 논문이아니라 논문이 훌륭해서 천재소리 들어야지.	분노
드러난거만 대답하는구만-개싸가지!	분노
"보수의 탈을 쓴 양아치들..,"	분노
정신병자야 뒈지기전에 담배무단투기하고 유서까지 쓰고 뒈졌는데 무슨개소리냐	분노
어리버리한 사람처럼 연기하더니만....	분노
세금은 눈먼돈이라 말도 안되는 교과서 만드는데다 펑펑 잘도 쓰는구나	분노
얼굴좀 보자 이새X	분노
명백한 의료법 위반	분노
이게 나라가 아니다	분노
본보기로 사형가자	분노
근혜누나 파이팅!!	분노
연구 개발은 없고 맨날 구조 조정 하지만 이런 수주가 없어도 임원들은 성과급을 받아가겠지 ㅋㅋㅋㅋ	분노
헬조선ㅋㅋㅋㅋㅋㅋㅋㅋ나라잘돌아간다	분노
유재석도 더 험한꼴 보지 말고 깔끔하게 나와라 폐지하자 그냥	분노
25억에 사올수있는거였으면 정부는 뭐했냐 부끄럽다	분노
국가유공자로 올려야함	분노
멘탈갑 뻔뻔하다	분노
이대는 중경외시 아래로 가라. 썩었다	분노
와 아직도 5강운운하네ㅋㅋㅋ	분노
염경업 자진사퇴~~!!	분노
입만 열면 거짓말이나 하고 대국민 사기극을 벌이는 그 입들을 모아 닭똥 한바가지씩 퍼 먹이자.	분노
불공정이란 단어를 알고나 바불거리는건지!	분노
수입맥주 마시고 오줌싸면 국산맥주 나올껄	분노
야 정말 꼴 보기 싫다.	분노
진짜 휘재님은 인성논란이 몇년째인지 ㅋㅋㅋ	분노
두양아치집단아 그냥 지구를 떠나거라	분노
_기해라 전액환불하고 노트7은없던거로 해라	분노
대포폰썼다 카더라~카더라~카더라~의혹으로 선동과 날조하여 국가전복하자! 혁명정부 세워내자!	분노
국대오면 쎈척 리그가면 쥐죽은 양ㅅㄲ ㅋㅋㅋㅋㅋㅋㅋㅋ 누구? 네다흥	분노
무당 과학을 만나다. 그래 봤자 ㅋ 무당	분노
인간들이 좋은건 못배우면서 나쁜건 안가르쳐도 잘도 배운단 말이지 ㅡㅡ	분노
박사모 놈들아 이일은 뭐같냐? 언론에서 그냥 선동하는거냐 뭐냐	분노
살처분한 침출물은 잘 처리하고 있는건지 걱정스럽네	분노
첩보영화 찍냐?? 순실이 파워가 어디까지냐??	분노
죄는 죄대로 받되 삼족을 멸한다 했던 전라도 검사는 처벌받아야지	분노
박근혜의 인생은 악의 연대기 !!	분노
걔기면 고문이 최선입니다.	분노
공정위 주머니에 얼마 들어있을라나	분노
경기 쪽으로 조금만 나가도 외노자들 널렸다 관리좀해라	분노
동성애는인권이아니라죄악이다	분노
트럼프 작품으로 보임	분노
얼마나 해피한 삶을 사셨으면 지금 정도로 죽을 수 있습니까?	분노
진실이 이겨야지분신이 이기면 안된다	분노
이만수가 감독해서 프런트 갈아야한다	분노
최순실개한민국 영웅따라배우자박근혜 짱	분노
보이스 장혁 와이프 죽인 범인은 백성현 턱선하며 얼굴에 일자로 생기는 근육 확실한건 치아가 똑같다는것이다	분노
남자들의 눈높이를 개 무시하지 마라	분노
그나라의 모든 이익을 취하면서 정작 자기들은 문화 생활방식을 흡수안하고 피해자 고스브레 하고 있지 ~	분노
무당일가가 조종하는 나라. 헬조선.	분노
이젠 주시하는 단계이구나~~	분노
아직도 심한데 언제 사라진다는거야 아놔	분노
드라마나 실컷 봐라 이 등짝아	분노
일본은 헝가리 일리노이 소비에트입니다 궁금해하지마세요....	분노
국가 부패지수에는 눈귀 닫고 아스팔트 위에 싸질러 놓은 똥이 거름이라며 치우지 않으려는 꼴.	분노
돈이 돈을 낳던 때 젊은 시절을 보낸 사람들 입 열지 마라	분노
성과및능력제로 급여받는게 싫다면 모두가 평등하게 굶는 김정은이에게 가라	분노
김진태 매국노 태극기는 일당제이기에 시간이끝나면 집에감 ㅋㅋ	분노
재청구해서 이재용 구속 박근혜 구속 합시다	분노
이년은 무기징역을~~~	분노
동물을 인간의 노리개 감으로 삼지마라 색기들아	분노
국민 세금으로 해결해주는 현실.	분노
과자먹지말란소린가??	분노
김기춘 자리에연연하지않고 마지막 봉사랍니다 개뿔 봉사 ? 박근네한테 끝까지봉사 잘한다 영감탱	분노
기호1번을 믿고빨아주는 갱상도 친일부역자 놈들의 원천!	분노
영원히 한국에서 추방됐으면 좋겠다.	분노
뭐래..일본도존나장난아니게 여성억압하는데	분노
이건 백퍼 고의다하차해라 무개념 듣보새끼	분노
아하....정말 무슨 이런 개 같은 경우가 있습니까	분노
이러려고 96억 받았나 자괴감들고 괴로워 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	분노
김치년 무고범죄에 피해자만 욕하는 꼴이라니	분노
위안부 할머니들한테 가서 또 보여주기식 연출하겠네	분노
부패척결한다고 했던 사람이 오히려 부패를 먼저하네	분노
자해공갈단 이제 플랜짜고 출동준비하세요	분노
과거 좌파정권땐 특혜 누리던 화이트리스트들 아니었던가~	분노
게임을 마약으로 여기는 정부ㅋㅋㅋㅋㅋ 잘한다....	분노
하루가 다르게 처올린다는 소식만 나오네	분노
대한민국 국민을 박사모로 만드는 종북빵갱이들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아놔 ㅋㅋㅋㅋ 역시 헬조선 ㅋㅋㅋㅋㅋㅋ	분노
돈받고 위증하네 저 미용사년	분노
얼굴값 못하시는 분ㅜㅜ	분노
모자란놈	분노
기업에 벌금 750이 돈이냐ㅡㅡ개념좃도없내ㅡㅡ750억때려라	분노
와 여기 일베 엄청 많네죽기 직전까지 평생 전라도 욕이나 하면세 살아라 방콕 백수 찌질이들아	분노
ㅋㅋㅋ빡대갈 쉔징들은 걍 망하는게 답이다	분노
대한항공은 그냥 경영진만 정상인으로 바뀌면 해결될 회사고 아시아나는 그냥 해체해야될 정도로 썩어빠졌음	분노
사실 박근혜보다 더한건 이명박이지...	분노
"고등생 아들,친구다나가고 주위 주민들도 많이나갔다 이게 돈받고 하는거로 보이니?"	분노
북한에 저런거 써볼만한 사람있음	분노
김구라는 국민비호감인데 후보에 있는것도 웃긴다...ㅉㅉ	분노
이것도 저번 중국 지상버스처럼 개구라 사기 아님?	분노
지금까지 인생이 모두 거짓으로 물들어 있는데 무슨 답을 기대하겠습니까...	분노
왜 화력발전소와 제조공장에는 미세먼자 저감장치를 의무화하려고 하지 않는데?	분노
원숭이 닮은 병세야 검토만 쭉하다 짤리면 되는겨!!	분노
100미터다음에 50미터로해라 안그럼 쳐들어간다	분노
야 또나올려고 그래서 또 어기적 거리며 다리 쫙 벌리고 먼산 처다볼려고 그만나와 임마	분노
앞으로 해외여행도 못가고 방콕해라 박뀐애야	분노
마약검사해라 한지안했는지.	분노
고깃집 연기에 환경세 내라할 기세다	분노
아줌마들 왜 또 나와!!	분노
1년 연봉이라고해야지 1년주급이라고하냐 ㅋㅋㅋ	분노
최순시리도 구라쟁이고 한걸레도 구라쟁이고 ㅋㅋ	분노
"영국 여왕이 무릎을 꿇고 사죄하지 않는 한, 이 일은 해결되지 않는다"	분노
판검사님 모든 걸 검찰에서 제대로 자신이 한짓을 실토하지 안하면 최순실은 사형으로 심판하여 국민에게 광화문 네거리에 능지처참을 명하세요	분노
아주. 쇼를해요. 이게 나라냐. 미친것덜	분노
베댓 보니 여기는 다 초딩들만 있나봐	분노
돌에 맞아 죽어라	분노
자연을 파괴하는건 언제나 인간들..	분노
닭대가리 할망구야 말로 하루속히 제정신으로 돌아와 진실을 밝히도록 하거라.	분노
박근혜 최순실 광화문 한복한에 놓고 장성택 꼴내고싶다	분노
아니 삼성페이 마일리지 10만원에 추가요금 더해서 무선충전하고led케이스를 삿는데 다른 제품으로 바꾸면 이 두개다 쓰지도 못 하게 되는건데 이건 어쩌란말이지?	분노
국조특위는 그알 끝나자 마자 특검에 김기춘 우병우 위증죄로 고발하시길. . .	분노
한국에 태어난게 잘못이지	분노
메머드 같은 동물로 생태계 파괴하지 말고...인간때문에 멸종된 동물들..살려내!!	분노
이런 건 뭐 놀랍지도 않다 군인분들 힘내시길 닭잔치하시겟넹..	분노
국민을 아주 닭대가리로 아는군~쯧	분노
그냥 예보하지마라. 뭣이중헌디?	분노
새누리는 비대위원장을 차라리 잡코리아에 올려 공정하게 뽑아라..ㅋㅋ	분노
기래기가 뭐래...둘이 엮지 말아.......븅...	분노
차선 바꾸는것도 있으면 좋겠음 ㅠㅠ	분노
진짜 다 도둑놈 ㅅㄲ 들	분노
증거불충분이지 무죄임은 아님	분노
팔 잘라서 범죄로 쓰겠네	분노
총기소지를 허용하라..	분노
위증죄를 엄벌에 처하도록 법을 계정해야됨..	분노
박죄인은 국민의 어명을 받들라사약을 내리겠노라	분노
"훈장, 동상, 생가 이딴거 만들돈을 국민을 위해 써라"	분노
설마 했는데 역시 기우제 지내는게 확실한 개상청	분노
그네처럼찬성표던지고 웃으면서내려오자 골빈년	분노
세상에서 제일 편하게 살고있는 김치년을 더 편하게 만들자는 이 취지의 밑바닥은 어디란 말이요	분노
아 진짜 헬조선은 헬국민이 만든다.	분노
염병하네 염병하네 염병하네	분노
나라를 이 지경까지 망쳤으면! 삼족보다 더 한게 마땅 한들!	분노
왜 3범인데 700내냐.징 역을 살게해야지.그지같은 법	분노
이참에 학실하게 인연끈어삐라 시호야	분노
뒷방 늙은이가 장기나두지 너무 나댔구만	분노
저딴것들이 믄 대통령이고 퍼스트레이디야 기가찬다기가차	분노
"예산낭비의 표본도대체 얼마를 들여, 헛 짓을 했는지필히 감사해야함"	분노
이제 그만 손주보러 가셔요	분노
박근혜 하야 하라!	분노
국가의 반역자들이 심판 받는 그날까지 참여 하여 소리치고 외치겠습니다.	분노
일본한태 지배받는게 더 낮다	분노
나라 말아먹으려고 작정을했네 ㅆㅣㅂㄴ들이...	분노
낡은 전기시설좀 제대로 신식으로 고쳐라	분노
이런 사례가 더있는지도 조사해라 그래야 조사가 재대로 이뤄졌는지 국민들이 알지	분노
가족은 건드리지 말자	분노
거짓말을 산처럼 쌓은건 박근혜 니년이다 씨댕아	분노
이참에 바다속으로 사라져라	분노
상아를 가지고 있는 인간들 모가지를 다 짤라야한다.	분노
그놈에 낯짝!	분노
대한민국 대통령이 아니고 대한제국 여제.	분노
비밀번호는 므슨지랄 세끼들	분노
이젠 로마도 일본거라고 하겠네.	분노
뺑소니치고 또거짓말하네 최고형벌!!!!	분노
우병우 너 노무현 대통령 죽였으니 그 댓가를 치러야 할꺼다	분노
이건 구라청과 한전의 음모다	분노
필요없어 통신비 할인으로 줘	분노
특검 저 새끼들도 삼성 장학금 받고 다 짜고 치는 넘들인데 뭔 힘내라고 난리냐 개이버 꼴통들 멍청한거냐 순진한거냐	분노
감옥에 잡아 처넣어라.	분노
저게 대통령으로써 할짓이냐!저런년을 좋아한다는 박사모도 똑같은 무뇌아다.	분노
십억엔에국민자존심판외교부순실이장관대단해	분노
느네들 해적질이나 잘 단속할것이지	분노
병신틀딱 놈들 국민연금 손해본 몇 천억은 안아깝고 삼성이 틀딱들한테 해준게 뭐라고 응원함?? ㅋㄷㅋㄷ	분노
빨갱이같은놈	분노
개념없이 찢어진 계집년은 잡아다 더 째야...	분노
마음 같아선 쳐들어가서 죽여 버리고 싶고만 참다 병생기겠다	분노
열심히 하시는 것 같은데 비난하는 사람들 뭐지	분노
저돈은 어디서 나온걸까...ㅡㅡ	분노
능력없는 근혜 그 자리 비우시요.	분노
눈깔 하나 뽑고 정중하게 다시 물어보세요.	분노
이년은 끝이 어딜까요?	분노
이젠 선동질까지 하는 기사를 올리는구나	분노
못사는것들 ㅂㄷㅂㄷ	분노
남산 보호라곤 ㅣ도 없는 사람들	분노
우리나라 후진국티내냐	분노
동구청 삽으로 퍼다 버려라	분노
안보불감증 해소를 위해 트럼프가 꼭 되어야 겠다	분노
그러니까 구속해서 구치소에 한달만 가다놔봐라 다 불게 되어있다	분노
아저씨. 입이 있다고 나불대지말고 생각이란 걸 해라.	분노
이게 박정희 후빨틀딱충들의 전형적인 모습이다ㅋㅋㅋㅋ	분노
우리나 미국이나 똑똑한 것들이 다 뺏어가는 법	분노
좌빨은 청소가 답외국도 예외는 아님	분노
이제 그만 감옥으로 ㄲ져라	분노
미친폭도들이 개난리쳐서 대통을 바꾸는걱 제 정신이냐?	분노
보수 새끼들은 아직도 뭐가 뭔지 모르고 ㅈ ㅣ 라 ㄹㄹ하고있다	분노
저게 내이버에 나올일인가?	분노
흥민아 군대 가야지?????	분노
홧병난거 전국민 병원비 전부 합해서 그네랑 순시리에게 다 손해배상 받아내자.	분노
닭장 청소합시다!	분노
금이 저렇게 다발로 금색 페인트 칠해논거 처럼 뭍혀 있다고? ㅎㅎㅎ 재밌네 중국	분노
아..진짜..주먹구구 정책내놓는 분들.. 이미세먼지 당신네가족들도 마시고있다고..	분노
ㅋㅋㅋ 애꿋은 국민들을 폭도로 유도하고 있고나!!!!	분노
양키 고 홈	분노
근데. . .이렇게 질기게 버티는 닭도 세계적으로 기억될 것. . .ㅠㅠ	분노
무조건 빨리빨리 무조건 대충대충하다 사단나는 인재	분노
개또라이 여_네들 절대합의해주지 마세요	분노
봤는데 돈이 너무 아깝워서 속쓰리다ㅜㅜ	분노
쎄보이는 사람에게 화풀이 하면 뒤지게 맞을까봐 만만해 보이는 약자 상대로만 G랄하는 미개한 새끼들	분노
10억엔에 목숨걸고 진짜 비굴하게 외교하네..일본대사 필요없고 외교부 문 닫아라 그냥	분노
하아..박근혜는 잡아두고 조금씩 죽여주길..	분노
나중엔 설탕의누명이라면서 설탕섭취로 살빼잔 소리까지 나오겠네	분노
아시바 단통법 죽여불고싶다	분노
네이버 95프로는 기사와 여론을 조작한다고 보면됨	분노
독재자 딸이 당선되고 나서 공산국가 다 됐다.	분노
ㅋㅋㅋㅋㅋ 바닷가근처라고 좋아하다가 한방에 훅 간다 저기에 왜 사냐 ㅋㅋㅋㅋ	분노
최재원데리고와라!	분노
우리 대통령이나 저짝 대통령이나??국민들 골치아프겠다	분노
성범죄자새키	분노
인정사정 없는것들이 최순실 박근혜 이 두년한테는 너그럽지?	분노
연류된 자식새끼들 팽목항 바다에 죄다 처넣어라	분노
여러분 돈 졸라 법시다유전무죄 무전 유죄~	분노
드라마는 꿰뚫고있으면서	분노
국민들이 아직도 머리에 똥만 찬 줄 알지	분노
망할종자들 지들 인구많아서 많이 뒈져도 상관 없다지만 니들이 대기오염 시켜서 남의 나라에 민폐끼치는게 도대체 한 두가지냐??!!	분노
인간을 위한 진정한 화폐제도는 똥본위제다!!	분노
아니 북괴에게 나라 팔아넘기려는 국가전복세력 리스트 만들어서 관리하는게 뭐가 문제지?	분노
"한국 외교부도.. 공식적으로 통보해라.... ""하나의 중국을 인정하지 않는다"""	분노
국민들 피눈물 흘리는건 안보이지..아휴 18.	분노
실물 공개하지는 못하고 엉뚱한 증언 가지고 증거라고 우길려나보네	분노
"개설레발,선동질한 언론 잡아야한다"	분노
하여튼 저런놈이 분란과 지역감정부추기고저것들이 진짜 북에서 지령받았을지도 모를일이다.	분노
관련된사람다 재산몰수하라고!!!!!!!!!	분노
이휘재는 오남매와 합방했을때 촬영 안하고 있을때 시민이 찍어 올린 애들 발로차는 영상 보니까 노답임	분노
요즘 쪽바리보다 짱깨가 더 극혐이다.	분노
정유라가 박근혜 딸인가?	분노
솔까 이원석 이흥련 1대1 트레이드해도 누가 손해니 뭐니 못하지 않음?	분노
꼭 세차하면 비오네.. ㅂㄷ	분노
나라 이름도 바꾸자나라 꼴이~~	분노
너그들도 을의 입장에서 당해봐라	분노
우병우같은거지 너는	분노
우리나라만 등신대응	분노
이완영 저새끼 저럴줄알았다	분노
그네의 분노 그것은 자당의원들의 탄핵가결투표!	분노
최초 태블릿은 조작되었군	분노
이게 다 최순실 때문이다 ㅇㅈ?	분노
애초에 규모가 비교가 안되는데 둘을 동일선상에 놓고 마치 경쟁한다는 듯 기사를 쓰는 까닭은???	분노
어후.. 기사 보니까 담배 땡기네.. 고고씽	분노
목소리 크고 성격 가칠하면 살기 편한 나라!	분노
닭이 전 국민을 대상으로 수십년 동안 사기를 쳤다.	분노
올해는 청와대 늙은년 길라임이 대상감이다..	분노
자기자식이 저상황이고 총이있었다면 누구든지 총을_을것이다!	분노
한번 싸웠어야 했는데...	분노
개집은 16강이 딱이야	분노
가야될새끼들은 안가네	분노
공갈치시네 개상청 ㅗㅗ	분노
호갱이들 주머니 털어서 전경유착 자금으로 쓰실려고 ?	분노
이기적이고 형편없는 보수 꼴통들의 승리	분노
박근혜 하야를 원합니다 !!!	분노
세상이 흉흉하니 포주가 상을 받을라하네	분노
진짜 자숙은 김용만처럼 해야지	분노
청와대에서 보상해라!! 월급 받았으면 월급값을 해라!! 성과급도 강제로 회수해라!!	분노
자거거가격이 2-3만원이 적당할것같은데 현실은 6만원이상 비싸다	분노
새누리공산당 최후의 발악	분노
흡연충 아웃 ㅋㅋㅋ	분노
이 개녀니? ? ? ?	분노
그네와 순시리를 북한이나 아프리카로 추방하자	분노
하여튼 이나라 위정자 새끼들이란...	분노
그동안 돈버른거 환수조치 해라	분노
이제 교도소 영주권을 주노라.탕탕탕!	분노
단교해라.	분노
박근혜 당장 꺼져라	분노
감빵 가기싫어 근혜뇬 망명도 고려한다지...	분노
애플이 인도인을 미개인으로 취부하는데 어느 누가 좋다고 승인해 주겠나!	분노
니색기들은 강한 나라에 똑같이 유린 당할거다.	분노
지잡대 나온 못생긴 무식한 ㄴ 이 가르치려 들고 꼰대질에 정치판에 기웃거리기까지 진짜 극혐이다	분노
